,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
1967-08-31,0.008811,0.010992,0.007083000000000001,-0.000674,0.009143,-0.015267999999999999,-0.006333999999999999,0.010159,0.000111,-0.013253,0.005696,0.018967,0.010955,-0.006848,-0.011032,0.008253,-0.000474,-0.001974,-0.007428000000000001,-0.003317,-0.015055,-0.006808999999999999,-0.006864,0.010118,-0.0031709999999999998
1967-09-30,0.066569,0.07342800000000001,0.06112,0.082038,0.09145500000000001,0.04016,0.058019,0.049185,0.028978,0.058447,0.037517,0.042996,0.040480999999999996,0.025484,0.031515,0.017405999999999998,0.021187,0.017824,0.026153,0.043472,0.023014,0.021493,0.054479,0.02988,0.013012
1967-10-31,-0.020751,-0.009302,-0.028014999999999998,-0.010577000000000001,-0.00547,-0.015749,-0.020297,-0.010003999999999999,-0.053796,-0.023946000000000002,-0.020872,-0.025287,-0.033626,-0.050447,-0.02037,-0.053259999999999995,-0.052661,-0.029752999999999998,-0.059309,-0.050103999999999996,-0.023721000000000003,-0.040923999999999995,-0.013576,-0.022862,-0.033873
1967-11-30,-0.000123,0.000888,-0.0021609999999999997,-0.003731,-0.004459,0.041872999999999994,-0.000698,0.011883,-0.000373,0.0060750000000000005,0.011231,-0.009012,-0.0054800000000000005,0.017991999999999998,0.020301,0.033398,0.000839,0.003339,0.009839,0.007431,0.011325,0.014007,0.0015,0.006005,-0.014674
1967-12-31,0.077876,0.071975,0.082156,0.105523,0.143528,0.076625,0.06995,0.077538,0.081913,0.11756399999999999,0.035114,0.048499999999999995,0.064071,0.065149,0.09266999999999999,0.025371,0.02408,0.022121,0.034716,0.049360999999999995,0.020595,0.027528999999999998,0.029473,0.032499,-0.006434
1968-01-31,0.052228000000000004,0.048794000000000004,0.048013,0.027139000000000003,0.041766,0.010383,0.019795,-0.0006,0.0036620000000000003,0.00046499999999999997,0.006188,0.000921,-0.033431,-0.026504,-0.022778999999999997,-0.028757,0.0010530000000000001,-0.036405,-0.045518,-0.052477,-0.006794,-0.043365999999999995,-0.052894,-0.08843999999999999,-0.12086499999999999
1968-02-29,-0.041536,-0.054283,-0.06701800000000001,-0.067858,-0.08917299999999999,-0.044084000000000005,-0.036587,-0.038957,-0.049586,-0.099534,-0.006279,-0.043207,-0.044808,-0.036311,-0.071048,-0.024953,-0.038985,-0.035764,-0.045861,-0.08693,-0.019452,-0.027801999999999997,-0.026977,-0.03758,-0.026273
1968-03-31,-0.0034720000000000003,-0.013375,0.0015129999999999998,-0.014790000000000001,-0.011071,-0.015071000000000001,-0.035371,-0.023569,-0.016345000000000002,0.009497,-0.020938,0.0036170000000000004,0.011331,0.005796,0.001763,-0.011255999999999999,-9.2e-05,-0.003377,0.009978,0.008218999999999999,-0.007090999999999999,0.008026,0.021699000000000003,0.017825,0.053147
1968-04-30,0.11280799999999999,0.145265,0.1329,0.17933900000000003,0.215398,0.140257,0.094856,0.129267,0.126966,0.192112,0.07163800000000001,0.099093,0.122452,0.136973,0.18046399999999999,0.081584,0.10302,0.105412,0.128439,0.115016,0.041107,0.087589,0.10544600000000001,0.119168,0.110107
1968-05-31,0.107427,0.10502800000000001,0.11060700000000001,0.118674,0.130364,0.041914,0.067536,0.08524100000000001,0.075255,0.101262,0.030545,0.056853999999999995,0.053879,0.068506,0.086804,0.001224,0.040819,0.049571,0.089213,0.042927999999999994,0.00426,0.010794,0.022768999999999998,0.008577,0.031372
