,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196601,12.5403,15.5483,17.6873,15.5701,13.5866,46.3621,51.7854,52.7924,58.4083,57.1928,108.6539,102.3389,117.1462,105.9938,119.2198,246.2955,257.3805,256.102,259.8818,304.2854,2006.1347,2130.7965,1187.015,1501.7879,980.1824
196602,13.3148,16.8486,19.1882,16.9493,14.8153,49.078,53.8637,55.2169,64.2432,60.8462,112.2265,104.1251,122.1095,109.8885,125.2475,250.5525,264.4778,263.9665,272.0362,314.3623,2003.1071,2136.5925,1182.5495,1517.3946,1059.2446
196603,13.8079,16.9273,19.9755,17.9036,15.9861,50.332,54.2213,55.9594,67.3288,62.5799,110.4214,102.9704,126.6001,113.8642,131.1047,246.3401,256.7778,259.7218,279.2373,329.7898,1926.0965,2078.4703,1157.0752,1526.2372,1131.6374
196604,13.8239,16.947,19.6591,17.8008,15.8648,48.8925,52.4473,55.7835,66.7137,60.9155,107.8419,100.5344,121.712,108.992,127.2601,240.8322,251.5008,251.4842,274.2551,324.9274,1874.5544,2028.0377,1117.6907,1514.4545,1149.0845
196605,14.402,17.8515,21.0764,18.5899,17.0623,51.4224,53.8273,57.8676,71.6717,66.2248,108.4914,103.774,125.2032,112.9038,135.5995,241.6849,255.3546,259.3009,283.0095,346.1233,1896.9298,2053.1132,1125.7086,1595.9403,1179.2881
196606,13.198,16.4072,18.4621,16.3066,14.3373,47.0884,49.5049,51.0221,64.8955,58.3472,102.9433,99.5609,113.9112,101.9017,118.6497,228.0755,241.3781,242.4276,260.9783,313.4198,1796.1903,1972.3319,1078.7311,1522.0451,1051.6032
196607,12.692,13.9232,15.1567,14.8246,13.0357,51.0708,50.1738,50.0451,52.1515,47.7522,105.0108,98.2753,104.7248,98.854,101.9815,247.312,248.5223,248.5941,236.0063,217.6598,1753.0285,1895.0905,939.2402,1766.3494,1006.0943
196608,12.4812,13.7974,14.9249,14.3131,12.798,50.0216,49.6993,49.8081,50.8794,46.1006,105.0542,96.7138,105.1612,98.1443,99.7171,247.8438,242.2433,246.4398,231.6615,212.3574,1738.1799,1879.3915,936.5652,1708.7569,985.608
196609,11.2001,12.3793,13.2875,12.6416,11.1911,44.6322,44.4105,44.3538,45.1137,41.0382,95.0931,89.7029,94.436,88.3252,90.1276,228.5678,217.3345,227.7554,212.7137,191.7545,1614.7577,1730.0879,863.4224,1587.8078,908.1408
196610,10.9587,12.1167,13.0442,12.4455,10.9526,44.4942,43.4692,42.9501,44.4041,39.7996,94.503,89.0497,94.4749,85.8713,87.1319,231.6583,218.8501,225.7211,205.7273,177.9726,1642.1642,1746.4466,853.0788,1550.8624,847.909
196611,10.5966,11.8335,12.4637,12.0425,10.3532,44.4146,43.4788,43.0759,43.963,37.7667,96.2668,91.9907,95.2907,88.2532,87.0863,239.8479,229.0329,231.8199,210.5935,172.452,1779.9815,1839.5054,899.6443,1592.7036,825.5848
196612,10.8473,12.1514,12.9289,12.494,10.8992,45.5687,44.3031,43.272,45.6829,40.1076,96.545,94.7936,96.666,91.9003,94.0944,241.0091,232.0891,238.4977,215.706,191.5821,1731.354,1800.0472,906.7595,1693.7783,928.0966
196701,10.9508,11.9153,13.344,12.751,11.4721,45.3548,47.878,43.9422,47.2826,42.0149,98.1407,97.6294,100.5472,94.5582,100.2943,245.8784,240.5025,250.7533,223.8771,206.6954,1762.7363,1793.2793,923.1184,1687.7718,926.7419
196702,12.6391,14.0304,15.7205,15.1999,13.971,51.0327,56.2662,52.0157,55.9497,51.2779,107.8929,107.6311,115.1313,107.9817,118.4195,264.5177,258.2081,268.3912,252.7618,239.103,1830.2413,1925.3899,995.0029,1852.6311,1025.0933
196703,13.3814,14.6135,16.473,15.9218,14.7968,53.374,57.3258,53.0789,57.2198,52.8779,107.3537,109.0327,115.1155,110.2095,121.0012,263.857,259.2243,272.1685,252.6052,246.9097,1808.2232,1922.0046,998.0915,1917.1487,1033.6131
196704,14.2553,15.4828,17.3519,17.2768,15.7243,57.5867,57.8189,55.4388,61.2745,56.6453,110.4517,113.5574,120.6682,120.2233,127.8042,274.9762,269.4632,288.0993,266.8244,258.0987,1868.4276,1971.5843,1049.5459,2009.4801,1093.5014
196705,15.0076,15.9504,18.2185,18.2525,16.5122,59.5565,61.1707,57.7442,63.4858,57.8996,112.5572,113.2432,123.7484,127.4219,134.4224,284.165,279.9297,302.8047,276.8953,274.6866,1878.1425,2068.5277,1086.833,2144.163,1171.8416
196706,14.9047,16.3083,18.069,18.208,16.6565,59.1694,59.6682,56.2392,61.628,56.5841,111.7253,109.8167,119.8004,126.9898,130.0547,279.0903,270.3895,292.0946,276.0233,272.675,1789.8889,1956.4983,1030.8957,2020.3402,1089.3322
196707,15.3498,16.518,17.0383,18.0917,17.3058,60.9156,59.1799,60.2353,60.4624,60.9129,118.8877,129.2905,121.7405,122.495,118.2022,309.8554,293.4151,293.8664,261.8864,263.2904,1867.7405,1463.6916,2356.5109,1021.6853,901.6755
196708,16.9403,17.7906,18.4858,20.1027,19.3035,64.9917,63.6836,65.7487,65.0894,66.359,126.2848,138.6751,127.8827,130.9089,126.8764,319.7744,310.0276,309.4517,282.8495,279.0375,1894.3597,1547.6793,2468.0788,1090.4091,972.4229
196709,17.0459,18.0049,18.6937,20.021,19.5594,63.7935,62.9689,66.0994,64.9126,65.3512,126.5007,141.5937,129.6975,129.5586,125.6159,321.2317,309.5618,307.6603,279.9826,277.5656,1852.1467,1531.1147,2438.4477,1097.7237,966.7881
